Word;Arousal;Source
tired;2;E
today;6;B
tolerate;4;S
tomorrow;5;B
tone;5;S
tonight;6;S
tough;6;S
tremendous;6.5;S
tricky;6;S
trivial;4;S
trivially;4;S
trouble;6.5;W
troubles;6.5;S
tuesday;5;S
typical;4;S
typically;4;S
ugly;6;S
unacceptable;6.5;S
uncertain;4;L
unchecked;5.5;S
unclear;4.5;S
uncomfortable;5;S
understand;5;S
understandable;5;S
unecessary;5;S
unhappy;4.5;S
unnecessarily;6;S
unnecessary;5.5;S
unneeded;5.5;S
unpleasant;4.5;S
unsafe;6;S
unsure;4;L
until;5.5;L
unused;5;S
unusual;5;S
upset;6.5;S
urgent;7.5;W
urgently;7.5;S
useless;5;S
usual;3.5;S
usually;3.5;S
utterly;6.5;S
vacation;3;S
warned;5.5;S
wasted;5;S
wasteful;5.5;S
wednesday;5;S
week;5.5;S
weekend;4.5;S
weeks;4;S
very;6;S
whenever;3.5;L
willing;5.5;S
volunteer;5.5;S
wonderful;7;S
wondering;5.5;S
workaround;6;S
worried;6;W
worries;6;S
worry;6;W
wow;7;S
vulnerability;6.5;S
vulnerable;6.5;S
xss;7;S
years;3.5;S
yesterday;3.5;S
